Date,Month,Input,Topic,Tone
2026-03-20,March,giving my soul now but again nothinh happening good,emotional health,NEGATIVE
2026-03-20,March,giving my soul now but again nothinh happening good,emotional health,NEGATIVE
2026-04-01,April,"Feeling exhausted ,just by overthinking",career and jobs,NEGATIVE
2026-04-01,April,Felt happy of started dng something,emotional health,POSITIVE
2026-04-01,April,Feeling empty inside and out,emotional health,NEGATIVE
2026-04-03,April,I feel stressed,emotional health,NEGATIVE
2026-04-03,April,stres,peace and stability,NEGATIVE
2026-04-03,April,stressed,emotional health,NEGATIVE
2026-04-03,April,feeling relaxed,peace and stability,POSITIVE
2026-04-03,April,I feel little relaxed today and quite productive.,peace and stability,POSITIVE
